1157095.298634,862325.914461,-6251.160600
1157201.525474,862621.266477,-6269.259800
1157307.752463,862916.618416,-6312.476100
1157393.911165,863199.858933,-6347.274400
1157468.602310,863476.178604,-6394.912100
1157543.293609,863752.498330,-6420.953600
1157617.985033,864028.818007,-6493.085000
1157680.816529,864318.494162,-6551.502400
1157743.648175,864608.170344,-6599.368200
1157806.479965,864897.846522,-6682.174800
1157848.999279,865192.831893,-6764.479000
1157855.971619,865497.108287,-6798.925800
1157862.944096,865801.384743,-6833.101600
1157869.916712,866105.661349,-6960.906300
1157883.140062,866400.292078,-7011.691900
1157898.707519,866691.305664,-6981.720200
1157914.275106,866982.319335,-6987.627400
1157929.122613,867274.081856,-6941.154300
1157936.768142,867573.332313,-6934.482900
1157944.413804,867872.582815,-6942.976600
1157952.059600,868171.833463,-6945.262700
1157961.788518,868479.219900,-6932.733400
1157974.017169,868796.369383,-6937.144500
1157986.245974,869113.518955,-6921.204100
1157998.474928,869430.668582,-6887.445800
1158006.102023,869726.642587,-6881.446800
1158012.706577,870017.910949,-6877.896500
1158019.311255,870309.179359,-6836.310500
1158024.568528,870605.220695,-6812.650900
1158023.762036,870922.739659,-6795.533200
1158022.955689,871240.258781,-6768.278800
1158022.149487,871557.777936,-6732.116200
1158000.686385,872686.058174,-6634.295900
1157962.012613,874489.975206,-6589.911100
1140675.900592,879377.970839,-7651.602100
1140867.477158,879604.307410,-7657.043900
1141057.194251,879833.020044,-7628.211900
1141228.315494,880085.494085,-7687.897900
1141399.436851,880337.968007,-7676.448200
1141570.558382,880590.441900,-7674.282200
1143048.777531,882491.854856,-7556.642600
1143236.595179,882730.839217,-7485.432600
1143424.412983,882969.823516,-7457.149400
1143612.230869,883208.807661,-7427.433600
1143792.935909,883447.998736,-7354.225600
1143967.713584,883687.362223,-7280.105500
1144142.491363,883926.725595,-7209.922400
1144317.269304,884166.088929,-7152.393100
1144508.115099,884397.709937,-7098.985800
1144700.567783,884628.556620,-7043.427700
1145810.588968,883244.525820,-6698.692400
1145639.727594,883012.142423,-6807.390100
1145477.985494,882772.397095,-6897.663100
1145316.243518,882532.651691,-6970.070800
1145154.501685,882292.906236,-7069.732900
1144981.384719,882028.905917,-7135.940400
1144805.740076,881759.515563,-7204.838900
1144630.095607,881490.125147,-7308.061500
1144455.494617,881226.168566,-7359.661600
1144285.588879,880986.664814,-7420.025400
1144115.683234,880747.160934,-7560.759300
1143945.777750,880507.657022,-7621.152800
1143777.821071,880258.811529,-7706.978000
1143611.488445,880002.181398,-7816.494600
1143445.155976,879745.551213,-7865.443800
1143278.823613,879488.920892,-7871.001500
1143089.442683,879255.721168,-7891.228500
1142706.071380,878794.007471,-7789.269000
1142516.865789,878564.446117,-7868.167000
1142334.273323,878338.339710,-7844.984900
1142151.680957,878112.233192,-7950.055700
1141969.088720,877886.126602,-8005.318800
1149521.213683,882762.952373,-6058.335000
1149335.772316,882519.857255,-6147.467800
1149150.331037,882276.761982,-6265.212400
1148974.496750,882032.938626,-6358.519500
1148810.190764,881788.241517,-6523.543900
1148645.884906,881543.544328,-6636.571800
1148481.579195,881298.847086,-6729.776900
1148285.280184,881055.068640,-6778.802200
1148081.871651,880811.494276,-6860.806200
1147878.463267,880567.919819,-6933.679700
1147679.859221,880326.575915,-6996.731000
1147502.874428,880095.270177,-7068.790000
1147325.889718,879863.964305,-7097.564500
1147148.905163,879632.658392,-7148.374000
1146959.832074,879383.126374,-7221.003400
1146760.685269,879118.405925,-7276.866700
1146561.538636,878853.685387,-7329.483400
1146362.392110,878588.964674,-7440.888700
1146175.907465,878378.517301,-7498.901900
1145990.689080,878173.497162,-7581.314000
1145805.470742,877968.476880,-7653.535600
1145621.245772,877751.683363,-7714.672400
1145439.669586,877503.494634,-7790.601600
1145076.517609,877007.116881,-7860.436000
1144714.571578,876553.324136,-7953.791000
1144533.732642,876331.159311,-7974.726600
1144352.893850,876108.994438,-8030.372100
1144184.004848,875877.475818,-8007.792500
1144015.115960,875645.957113,-8001.927200
1143846.227204,875414.438349,-8002.483900
1143663.548906,875188.052508,-7979.254900
1143456.738861,874970.649384,-7937.605000
1143249.928929,874753.246156,-7919.902800
1143043.119050,874535.842760,-7911.960400
1151884.165908,883239.213201,-5439.152300
1151720.595637,882990.471357,-5529.339400
1151583.949998,882740.326478,-5600.660600
1151462.689952,882489.379916,-5642.866200
1151341.430017,882238.433277,-5718.632800
1151220.170239,881987.486656,-5811.583000
1151048.666012,881746.989875,-5867.062000
1150877.161911,881506.493005,-5980.169900
1150705.657954,881265.996074,-6055.273900
1150541.377772,881019.102560,-6097.496100
1150389.739167,880761.015175,-6183.881300
1150238.100718,880502.927744,-6255.101600
1149928.893745,879986.924324,-6586.947300
1149769.101336,879729.072773,-6630.069800
1149609.309061,879471.221133,-6683.912100
1149449.947271,879212.902169,-6805.265600
1149294.889017,878949.910562,-6885.189000
1149139.830932,878686.918920,-6998.384800
1148984.772959,878423.927153,-7076.477500
1148825.755099,878165.147533,-7149.453100
1148661.985280,877911.422399,-7200.012700
1148498.215599,877657.697188,-7292.574200
1148334.446073,877403.971923,-7346.522500
1148160.005098,877150.555014,-7404.866700
1147983.192800,876897.206560,-7504.176300
1147806.380659,876643.858041,-7589.908700
1147632.723712,876392.058704,-7712.133800
1147473.264816,876147.231258,-7802.790500
1147313.806019,875902.403694,-7849.904800
1147154.347384,875657.576109,-7890.124000
1147008.695199,875398.150278,-7951.040000
1146874.548442,875126.559276,-7999.402800
1146740.401851,874854.968256,-8081.642600
1146460.356207,874315.767459,-8131.727100
