1193536.412681,849687.175327,-3735.380000
1132298.760537,907918.546781,-6599.160000
1213383.406213,855391.407624,-3436.210000
1199665.039719,874381.389091,-3042.430000
1128437.663977,911958.973441,-1635.000000
1083180.256889,906020.259955,-1677.420000
1199202.950492,868958.828357,-3090.530000
1072720.996329,929536.967345,-1817.310000
1069575.764002,923227.820972,-696.970000
1088389.847891,906493.926713,-3636.000000
1198083.398447,861436.891001,-3262.590000
1204071.464995,856348.873052,-3116.500000
1202877.814463,850313.511056,-3379.840000
1141296.689564,890382.737834,-8807.470000
1059085.749028,927659.687169,-2500.300000
1087581.304894,910838.724263,-3381.400000
1075210.539917,937826.642660,-618.540000
1198230.324815,852365.508713,-3625.630000
1077650.681176,920062.089797,-555.180000
1112047.542881,907967.328694,-5216.340000
1075772.226069,922870.601381,-741.210000
1072913.487053,919670.331279,-585.560000
1090820.808029,932223.324998,-2306.580000
1174292.871163,878876.478900,-5192.700000
1174675.185297,875882.914567,-4779.360000
1147911.249087,862354.047114,-9431.100000
1149384.301167,863237.152909,-9559.270000
1152739.412221,874832.897536,-9091.680000
1149154.168148,879151.343186,-8750.450000
1111779.444973,909576.457458,-4819.170000
1146348.811462,889292.198157,-6709.510000
1157443.471971,871397.121509,-8135.960000
1177327.707887,847081.986428,-3740.630000
1194105.477885,852557.831248,-3748.750000
1152568.631687,854822.791307,-6859.130000
1151578.248143,878758.261279,-7979.420000
1151578.248143,878758.261279,-7979.420000
1208613.434168,841635.261290,-2987.070000
1217533.746668,834509.670033,-3553.660000
1284186.582122,786702.465405,-4215.220000
1203576.063538,840360.067262,-2287.850000
1204304.411643,843297.725359,-2487.680000
1208444.950550,834618.482154,-4752.460000
1227588.269187,822754.532072,-5755.000000
1226707.647945,819481.710887,-5648.000000
1201529.543948,820115.911840,-3726.000000
1274514.699219,794455.171849,-4309.660000
1199898.731417,839904.995053,-4905.490000
