!
! Generated by IES export
!
@FAULT HEADER, FALT, 80, 1
 X (EASTING)         ,  1,  1,  1,  1, 15,  7, 1e+030,            , 15,  7,  0
 Y (NORTHING)        ,  2,  2,  1, 16, 30,  7, 1e+030,            , 15,  7,  0
 SEG I.D.            ,  3, 35,  1, 31, 40,  7, 1e+030,            , 10,  1,  0
@
   1877669.4955    608885.9881         1                                        
   1877781.5892    608802.2224         1                                        
   1877840.0423    608758.8396         1                                        
   1877911.9798    608704.5428         1                                        
   1877928.8080    608692.2068         1                                        
   1878068.3861    608736.3318         1                                        
   1878146.0892    608696.9099         1                                        
   1878180.8236    608679.2615         1                                        
   1878227.8080    608661.7303         1                                        
   1878269.2923    608640.3631         1                                        
   1878295.5580    608626.9099         1                                        
   1878379.5423    608577.2068         1                                        
   1878447.4330    608520.3396         1                                        
   1878477.8392    608471.1990         1                                        
   1878483.7455    608451.6834         1                                        
   1878492.1048    608423.9724         1                                        
   1878529.0892    608370.3084         1                                        
   1878539.6986    608302.7771         1                                        
   1878551.5267    608227.4568         1                                        
   1878568.9955    608214.1053         1                                        
   1878587.3080    608200.0428         1                                        
   1878629.4642    608169.1678         1                                        
   1878647.9642    608155.5349         1                                        
   1878683.9798    608128.2849         1                                        
   1878762.9330    608069.4959         1                                        
   1878810.2455    608033.7928         1                                        
   1878950.6048    608065.3318         1                                        
   1879084.2611    608095.1287         1                                        
   1879102.2611    608120.1521         1                                        
   1879115.1986    608138.9021         1                                        
   1879118.4173    608143.3787         1                                        
   1879199.1048    608110.1834         1                                        
   1879215.4330    608103.4334         1                                        
   1879315.7767    608061.0974         1                                        
   1879411.2298    608019.1756         1                                        
   1879433.5423    608008.0115         1                                        
   1879488.9642    607980.1756         1                                        
   1879532.9642    607958.6756         1                                        
   1879678.7142    607887.6912         1                                        
   1879739.2611    607832.7771         1                                        
   1879762.4330    607794.8553         1                                        
   1879779.6830    607758.0506         1                                        
   1879795.2767    607744.3865         1                                        
   1879814.2455    607727.6131         1                                        
   1879860.1830    607735.7928         1                                        
   1879906.9017    607749.2693         1                                        
   1879925.6830    607751.2459         1                                        
   1879932.5267    607752.0115         1                                        
   1879957.2298    607754.6287         1                                        
   1880040.2142    607739.8240         1                                        
   1880070.0267    607703.5584         1                                        
   1880120.8861    607652.2771         1                                        
   1880160.6986    607593.2381         1                                        
   1880208.5892    607507.2303         1                                        
   1880231.8392    607434.2771         1                                        
   1880234.0423    607427.4568         1                                        
   1880278.2298    607402.8084         1                                        
   1880327.6830    607383.6053         1                                        
   1880360.9955    607371.0037         1                                        
   1880385.7298    607361.6756         1                                        
   1880440.8080    607350.6678         1                                        
   1880589.3548    607331.8084         1                                        
   1880343.9486    606995.5896         1                                        
   1880339.3080    606989.1287         1                                        
   1880295.7142    606929.4881         1                                        
   1879913.3548    606405.0037         1                                        
   1879814.8861    606270.2303         1                                        
   1879754.4330    606188.3084         1                                        
   1879484.2767    605822.3474         1                                        
   1879363.3236    605658.6443         1                                        
   1879150.8705    605391.7146         1                                        
   1879039.7455    605251.5740         1                                        
   1878831.2611    604989.2537         1                                        
   1878786.8236    604933.7849         1                                        
   1878588.1673    604685.9021         1                                        
   1878527.2298    604609.9959         1                                        
   1878433.5423    604492.9568         1                                        
   1878152.7767    604108.6521         1                                        
   1877932.4642    603806.8318         1                                        
   1877820.5267    603653.4724         1                                        
   1877726.5736    603524.6990         1                                        
   1877720.5892    603516.7615         1                                        
   1877342.6986    602999.6209         1                                        
   1877299.5423    602940.4568         1                                        
   1876872.9955    602356.4178         1                                        
   1876753.3080    602192.3631         1                                        
   1876446.3392    601772.3318         1                                        
   1876163.2923    601385.0037         1                                        
   1876131.8392    601341.9178         1                                        
   1876019.6361    601188.3006         1                                        
   1875937.8236    601076.0896         1                                        
   1875593.3548    600604.1834         1                                        
   1875573.6517    600577.5974         1                                        
   1875216.8705    600089.0506         1                                        
   1875166.3705    600020.1287         1                                        
   1874983.8236    599770.3240         1                                        
   1874739.9486    599436.2224         1                                        
   1874393.9798    598962.8474         1                                        
   1874313.1673    598851.9021         1                                        
   1874247.9798    598762.8318         1                                        
   1874028.3392    598462.0662         1                                        
   1873886.4017    598267.9178         1                                        
   1873804.4486    598155.8006         1                                        
   1873459.8705    597683.7693         1                                        
   1873342.7298    597523.4646         1                                        
   1873214.8392    597348.2771         1                                        
   1873137.1986    597242.1834         1                                        
   1873077.1986    597159.3943         1                                        
   1873033.6205    597099.1834         1                                        
   1872626.3861    596539.9021         1                                        
   1872608.1986    596514.6912         1                                        
   1872288.0267    596074.6365         1                                        
   1872182.7923    595929.5896         1                                        
   1872097.1986    595811.7537         1                                        
   1872038.6361    595731.3709         1                                        
   1871757.4173    595344.6131         1                                        
   1871450.5580    594922.3865         1                                        
   1871360.1830    594798.7303         1                                        
   1871331.9017    594759.7381         1                                        
   1871183.9173    594556.1131         1                                        
   1870906.2923    594174.4646         1                                        
   1870862.3080    594114.3240         1                                        
   1870480.9642    593589.8865         1                                        
   1870412.8861    593496.1912         1                                        
   1870274.4173    593305.9959         1                                        
   1870233.6673    593249.5662         1                                        
   1870095.1830    593059.1756         1                                        
   1870055.6517    593004.8396         1                                        
   1869686.2611    592497.1053         1                                        
   1869630.2298    592420.1287         1                                        
   1869553.5580    592314.5662         1                                        
   1869469.5423    592199.2537         1                                        
   1869292.2455    591955.3787         1                                        
   1869204.7455    591834.8787         1                                        
   1869098.2611    591688.8396         1                                        
   1869040.8392    591609.7615         1                                        
   1868779.6048    591250.1834         1                                        
   1868514.8236    590886.6912         1                                        
